,acousticness,danceability,energy,instrumentalness,key,livenepathsss,loudness,mode,speechiness,tempo,time_signature
127,0.164,0.775,0.816,0.0,0,0.126,-5.534,1,0.0281,98.219,4
128,0.348,0.437,0.57,1.14e-05,8,0.129,-5.634,1,0.0265,75.705,4
129,0.466,0.46,0.509,0.000434,10,0.122,-7.666,1,0.0263,77.613,4
130,0.0203,0.217,0.628,0.32,11,0.143,-9.286,1,0.0306,77.785,4
131,0.00344,0.658,0.651,0.0,2,0.218,-5.482,1,0.0271,119.991,4
132,0.0538,0.425,0.588,0.00144,2,0.0697,-6.721,1,0.0293,145.079,4
133,0.0772,0.549,0.518,1.31e-06,7,0.0958,-7.306,0,0.0259,135.056,4
134,0.958,0.496,0.238,0.0109,1,0.0875,-11.026,1,0.0301,175.96,4
135,0.302,0.54,0.643,0.000135,11,0.0881,-9.088,0,0.0485,159.929,4
136,0.0485,0.48,0.718,0.000343,7,0.102,-5.461,1,0.0603,163.987,4
137,0.557,0.608,0.351,0.00892,0,0.201,-9.316,1,0.03,135.976,4
138,0.727,0.56,0.442,1.71e-05,5,0.11,-7.224,1,0.0243,146.448,4
139,0.0736,0.744,0.51,0.0,2,0.063,-11.366,1,0.0248,92.939,4
140,0.00116,0.607,0.804,0.0,9,0.159,-5.209,0,0.0296,139.983,4
141,0.172,0.666,0.713,0.032,2,0.177,-3.551,1,0.0384,94.71,4
142,6.35e-06,0.282,0.97,0.358,7,0.385,-4.086,1,0.18,200.005,4
143,5.15e-05,0.259,0.974,0.0106,0,0.305,-4.813,0,0.0994,118.524,4
144,0.000534,0.318,0.91,1.99e-06,0,0.297,-3.962,1,0.0773,92.374,4
145,0.000214,0.363,0.99,0.000143,7,0.32,-3.202,1,0.0498,98.891,4
146,1.39e-05,0.475,0.945,0.0017,5,0.106,-4.863,0,0.0887,154.011,4
147,0.000246,0.375,0.985,0.0,8,0.07,-2.754,1,0.0936,94.468,4
148,0.00791,0.533,0.967,0.0,1,0.336,-2.543,1,0.0995,142.018,4
149,0.000347,0.44,0.911,0.00174,1,0.189,-4.228,1,0.0678,150.027,4
150,0.00459,0.285,0.908,2.25e-06,7,0.0955,-3.999,0,0.195,168.233,4
151,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
152,9.42e-05,0.412,0.927,0.085,5,0.358,-2.882,1,0.0554,91.019,4
153,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
